loan_id,loan_amount,term_months,grade,sub_grade,int_rate,emp_length_years,home_ownership,annual_income,verification_status,purpose,dti,fico_range_low,fico_range_high,delinq_2yrs,pub_rec,open_acc,total_acc,revol_bal,revol_util,collections_12_mths_ex_med,collateral_flag,collateral_value,total_pymnt_before_default,outstanding_principal,days_past_due_at_default,months_in_recovery,recovery_status,payment_plan_status,recoveries,collection_recovery_fee,recovery_rate
ARC100186,10900.0,60,E,E2,21.98,1.0,RENT,95500.0,Source Verified,other,37.25,600,604,0,0,7,29,2740.0,56.9,0,0,,4473.43,6426.57,72,23,Closed,No_Plan,800.75,103.09,0.1246
ARC106212,17100.0,36,B,B5,10.87,10.0,MORTGAGE,36700.0,Not Verified,major_purchase,23.97,694,698,0,0,2,21,4030.0,38.4,0,0,,8634.5,8465.5,75,8,Closed,Active,4810.94,563.55,0.5683
ARC101863,17400.0,36,G,G3,28.82,10.0,RENT,50100.0,Source Verified,debt_consolidation,18.66,667,671,0,0,15,15,2870.0,110.2,0,0,,5100.21,12299.79,32,32,Closed,Broken,3624.75,366.76,0.2947
ARC100317,6700.0,36,A,A1,10.62,9.0,MORTGAGE,20400.0,Not Verified,debt_consolidation,25.87,643,647,0,0,7,13,5320.0,28.7,1,0,,1525.02,5174.98,108,30,Closed,Active,2387.22,305.99,0.4613
ARC106446,24200.0,60,B,B4,10.44,,RENT,45200.0,Source Verified,home_improvement,14.36,666,670,0,0,6,30,3340.0,34.6,0,1,13800.0,4413.43,19786.57,292,20,Closed,Active,9606.38,594.96,0.4855
ARC108966,8200.0,60,D,D1,17.56,2.0,OWN,71700.0,Source Verified,debt_consolidation,10.25,602,606,0,0,19,25,5190.0,10.8,0,0,,2589.97,5610.03,71,7,Active,Broken,1153.42,170.0,0.2056
ARC107095,19600.0,36,D,D1,16.61,0.0,MORTGAGE,24200.0,Source Verified,debt_consolidation,13.5,756,760,0,0,16,36,7470.0,56.6,0,0,,7427.57,12172.43,52,11,Closed,Active,7053.92,684.31,0.5795
ARC105884,15200.0,60,E,E1,20.5,2.0,MORTGAGE,57500.0,Not Verified,home_improvement,20.35,612,616,0,0,6,9,5880.0,77.0,0,0,,1063.48,14136.52,266,26,Closed,No_Plan,2219.43,174.55,0.157
ARC102592,12800.0,60,B,B5,11.5,5.0,RENT,76000.0,Not Verified,debt_consolidation,18.73,760,764,0,0,13,31,1160.0,27.8,0,0,,3210.49,9589.51,30,24,Closed,No_Plan,3150.15,296.8,0.3285
ARC101501,7000.0,36,B,B3,10.5,10.0,RENT,58700.0,Source Verified,credit_card,5.41,676,680,0,0,7,15,8320.0,13.5,0,0,,2688.16,4311.84,231,7,Active,Active,1623.84,208.14,0.3766
ARC107705,7900.0,36,B,B1,12.25,1.0,OWN,80500.0,Source Verified,debt_consolidation,29.86,701,705,0,0,4,24,8960.0,17.1,0,0,,1138.69,6761.31,251,8,Closed,Active,3371.19,433.38,0.4986
ARC103666,9900.0,60,D,D5,15.99,1.0,MORTGAGE,269100.0,Verified,credit_card,18.48,774,778,0,0,15,38,5990.0,,0,0,,3978.24,5921.76,63,14,Closed,Completed,4677.01,251.78,0.7898
ARC102105,7500.0,36,C,C4,14.8,10.0,RENT,58100.0,Source Verified,debt_consolidation,25.57,600,604,0,0,18,28,20050.0,70.7,0,1,3700.0,3072.64,4427.36,251,33,Closed,No_Plan,1482.72,116.16,0.3349
